datetime_collected,status,primary_source,collection_mode,total_duration,carbon_emissions,price,type,target_date,airline,flight_number,airplane,travel_class,departure_airport,departure_time,arrival_airport,arrival_time,leg_duration
2026-09-04,success,True,festival_target,80,"{'this_flight': 62000, 'typical_for_this_route': 52000, 'difference_percent': 19}",2619,One way,2026-10-09,Philippine Airlines,PR 2129,Airbus A320,Economy,MNL,2026-10-09 04:05,BCD,2026-10-09 05:25,80
2026-09-04,success,True,festival_target,75,"{'this_flight': 62000, 'typical_for_this_route': 52000, 'difference_percent': 19}",2731,One way,2026-10-09,Philippine Airlines,PR 2131,Airbus A320,Economy,MNL,2026-10-09 09:20,BCD,2026-10-09 10:35,75
2026-09-04,success,True,festival_target,75,"{'this_flight': 62000, 'typical_for_this_route': 52000, 'difference_percent': 19}",2731,One way,2026-10-09,Philippine Airlines,PR 2133,Airbus A320,Economy,MNL,2026-10-09 13:35,BCD,2026-10-09 14:50,75
2026-09-04,success,True,festival_target,75,"{'this_flight': 62000, 'typical_for_this_route': 52000, 'difference_percent': 19}",2731,One way,2026-10-09,Philippine Airlines,PR 2135,Airbus A320,Economy,MNL,2026-10-09 16:20,BCD,2026-10-09 17:35,75
2026-09-04,success,True,festival_target,85,"{'this_flight': 47000, 'typical_for_this_route': 52000, 'difference_percent': -10}",3684,One way,2026-10-09,Cebu Pacific,5J 485,Airbus A321neo,Economy,MNL,2026-10-09 07:15,BCD,2026-10-09 08:40,85
2026-09-05,success,True,rolling,85,"{'this_flight': 61000, 'typical_for_this_route': 52000, 'difference_percent': 17}",2564,One way,,Cebu Pacific,5J 471,Airbus A321,Economy,MNL,2026-09-06 20:25,BCD,2026-09-06 21:50,85
2026-09-05,success,True,rolling,85,"{'this_flight': 47000, 'typical_for_this_route': 52000, 'difference_percent': -10}",2564,One way,,Cebu Pacific,5J 479,Airbus A321neo,Economy,MNL,2026-09-06 21:50,BCD,2026-09-06 23:15,85
2026-09-05,success,True,rolling,85,"{'this_flight': 51000, 'typical_for_this_route': 52000, 'difference_percent': -2}",2900,One way,,Cebu Pacific,5J 475,Airbus A320neo,Economy,MNL,2026-09-06 20:15,BCD,2026-09-06 21:40,85
2026-09-05,success,True,rolling,75,"{'this_flight': 62000, 'typical_for_this_route': 52000, 'difference_percent': 19}",3292,One way,,Philippines AirAsia,Z2 605,Airbus A320,Economy,MNL,2026-09-06 21:05,BCD,2026-09-06 22:20,75
2026-09-05,success,True,rolling,85,"{'this_flight': 47000, 'typical_for_this_route': 52000, 'difference_percent': -10}",3684,One way,,Cebu Pacific,5J 485,Airbus A321neo,Economy,MNL,2026-09-06 07:15,BCD,2026-09-06 08:40,85
2026-09-05,success,True,rolling,85,"{'this_flight': 47000, 'typical_for_this_route': 52000, 'difference_percent': -10}",4188,One way,,Cebu Pacific,5J 2381,Airbus A321neo,Economy,MNL,2026-09-06 05:25,BCD,2026-09-06 06:50,85
2026-09-05,success,True,rolling,85,"{'this_flight': 47000, 'typical_for_this_route': 52000, 'difference_percent': -10}",4188,One way,,Cebu Pacific,5J 477,Airbus A321neo,Economy,MNL,2026-09-06 15:50,BCD,2026-09-06 17:15,85
2026-09-05,success,True,rolling,75,"{'this_flight': 62000, 'typical_for_this_route': 52000, 'difference_percent': 19}",4299,One way,,Philippine Airlines,PR 2131,Airbus A320,Economy,MNL,2026-09-06 09:20,BCD,2026-09-06 10:35,75
2026-09-05,success,True,rolling,75,"{'this_flight': 62000, 'typical_for_this_route': 52000, 'difference_percent': 19}",4299,One way,,Philippine Airlines,PR 2133,Airbus A320,Economy,MNL,2026-09-06 13:35,BCD,2026-09-06 14:50,75
2026-09-05,success,True,rolling,75,"{'this_flight': 62000, 'typical_for_this_route': 52000, 'difference_percent': 19}",4971,One way,,Philippine Airlines,PR 2135,Airbus A320,Economy,MNL,2026-09-06 16:20,BCD,2026-09-06 17:35,75
